user_id,task_order,trial,item_id,trial_lang,trial_type,pic_file,object_name,response
30,Du-En,1,84,Dutch,target,75_u2_potato peeler.png,AARDAPPELSCHILLER,7
30,Du-En,2,95,Dutch,target,95_u1_lamp post.png,LANTAARNPAAL,7
30,Du-En,3,77,Dutch,target,60_sem_rain boots.png,REGENLAARZEN,7
30,Du-En,4,80,Dutch,target,65_sem_watering can.png,GIETER,7
30,Du-En,5,43,Dutch,target,95_sem_lobster.png,KREEFT,7
30,Du-En,6,24,Dutch,target,59_u1_chain.png,KETTING,7
30,Du-En,7,119,Dutch,catch,2_sem_pipe.png,RUPS,Mismatch
30,Du-En,8,117,Dutch,catch,1_u2_pencil.png,DENNENAPPEL,Mismatch
30,Du-En,9,6,Dutch,target,8_sem_monkey.png,AAP,6
30,Du-En,10,13,Dutch,target,27_u1_eagle.png,ADELAAR,7
30,Du-En,11,130,Dutch,catch,9_vis_coconut.png,FRAMBOOS,Mismatch
30,Du-En,12,127,Dutch,catch,6_vis_tomato.png,FLIPPERS,Mismatch
30,Du-En,13,83,Dutch,target,73_u2_shopping cart.png,WINKELWAGEN,7
30,Du-En,14,15,Dutch,target,35_u1_fan.png,VENTILATOR,6
30,Du-En,15,96,Dutch,target,96_vis_traffic sign.png,VERKEERSBORD,5
30,Du-En,16,26,Dutch,target,62_u2_desk.png,BUREAU,4
30,Du-En,17,79,Dutch,target,62_sem_polar bear.png,IJSBEER,5
30,Du-En,18,28,Dutch,target,67_vis_fence.png,HEK,4
30,Du-En,19,23,Dutch,target,56_vis_globe.png,WERELDBOL,6
30,Du-En,20,98,Dutch,target,100_vis_fishing rod.png,VISHENGEL,3
30,Du-En,21,57,Dutch,target,19_vis_life saver.png,REDDINGSBOEI,3
30,Du-En,22,60,Dutch,target,25_u1_rubber duck.png,BADEEND,7
30,Du-En,23,4,Dutch,target,5_sem_cake.png,TAART,6
30,Du-En,24,32,Dutch,target,74_u2_package.png,PAKKET,7
30,Du-En,25,56,Dutch,target,18_sem_baby bottle.png,BABY FLESJE,5
30,Du-En,26,73,Dutch,target,48_u1_trash can.png,PRULLENBAK,4
