user_id,item_id,response,score,object_name,pic_file
30,81,puntenslijper,1,PENCIL SHARPENER,66_sem_pencil sharpener.png
30,90,stampotstamper,1,POTATO MASHER,86_vis_potato masher.png
30,49,kruik,1,HOT WATER BOTTLE,4_vis_hot water bottle.png
30,18,kikker,1,FROG,41_u1_frog.png
30,50,schaats,1,ICE SKATE,5_u1_ice skate.png
30,93,kandelaar,1,CANDLE HOLDER,92_vis_candle holder.png
30,78,veiligheidsspelden,1,SAFETY PINS,60_u1_safety pins.png
30,80,gieter,1,WATERING CAN,65_sem_watering can.png
30,42,glijbaan,1,SLIDE,94_u2_slide.png
30,69,kapstok,1,COAT RACK,36_sem_coat rack.png
30,3,das,1,TIE,5_u2_tie.png
30,97,paardrijhelm,1,RIDING HELMET,100_sem_riding helmet.png
30,48,koffiezetapparaat,1,COFFEE MACHINE,4_u2_coffee machine.png
30,27,blad,1,LEAF,63_u1_leaf.png
30,26,bureau,1,DESK,62_u2_desk.png
30,75,vuilniszakken,1,TRASH BAGS,52_u2_trash bags.png
30,63,scheerkwast,1,SHAVING BRUSH,28_u1_shaving brush.png
30,51,voetbalschoenen,1,SOCCER SHOES,6_sem_soccer shoes.png
30,15,ventilator,1,FAN,35_u1_fan.png
30,35,touw,1,ROPE,82_vis_rope.png
30,87,strijkplank,1,IRONING BOARD,79_u2_ironing board.png
30,83,winkelwagentje,1,SHOPPING CART,73_u2_shopping cart.png
30,23,wereldbol,1,GLOBE,56_vis_globe.png
30,1,sleutel,1,KEY,17_u2_key.png
30,17,stoel,1,CHAIR,40_u1_chair.png
30,91,wasmand,1,LAUNDRY BASKET,87_sem_laundry basket.png
30,30,slang,1,SNAKE,70_vis_snake.png
30,77,regenlaarzen,1,RAIN BOOTS,60_sem_rain boots.png
30,70,plijster,1,BAND AID,38_vis_band aid.png
30,72,schommelstoel,1,ROCKING CHAIR,43_sem_rocking chair.png
30,59,kaartspel,3,PLAYING CARDS,22_u2_playing cards.png
30,22,dienblad,1,TRAY,54_vis_tray.png
30,55,kantoorstoel,1,OFFICE CHAIR,14_u2_office chair.png
30,25,riem,1,BELT,61_u1_belt.png
30,34,jas,1,JACKET,80_u2_jacket.png
30,57,reddingsboei,1,LIFEBUOY,19_vis_life saver.png
30,39,tanden,1,TEETH,93_sem_teeth.png
30,60,rubber eend,2,RUBBER DUCK,25_u1_rubber duck.png
30,66,cementwagen,1,CEMENT TRUCK,32_sem_cement truck.png
30,82,etui,1,PENCIL CASE,68_u1_pencil case.png
30,20,tas,1,BAG,45_u2_bag.png
30,92,afstandsbediening,1,REMOTE CONTROL,91_sem_remote control.png
30,85,lamp,1,LIGHT BULB,75_vis_light bulb.png
30,56,babyflesje,1,BABY BOTTLE,18_sem_baby bottle.png
30,58,ijsje,1,ICE CREAM,20_vis_ice cream.png
30,11,ton,1,BARREL,25_u2_barrel.png
30,28,hek,1,FENCE,67_vis_fence.png
30,67,knuffelbeer,1,TEDDY BEAR,33_u1_teddy bear.png
30,68,flesopener,1,BOTTLE OPENER,34_u2_bottle opener.png
30,47,basebalhandschoen,1,BASEBALL GLOVE,3_u1_baseball glove.png
30,44,worst,1,SAUSAGE,97_u1_sausage.png
30,43,kreeft,1,LOBSTER,95_sem_lobster.png
30,41,haai,1,SHARK,94_u1_shark.png
30,73,prullenbak,1,TRASH CAN,48_u1_trash can.png
30,94,vlinderdas,1,BOW TIE,93_vis_bow tie.png
30,8,pistool,1,GUN,14_vis_gun.png
30,9,bel,1,BELL,21_u2_bell.png
30,32,pakket,1,PACKAGE,74_u2_package.png
30,19,drum,3,DRUM,41_u2_drum.png
30,10,broek,1,PANTS,24_u1_pants.png
30,5,cadeau,1,PRESENT,7_sem_present.png
30,96,verkeersbord,1,TRAFFIC SIGN,96_vis_traffic sign.png
30,53,schommelpaard,1,ROCKING HORSE,11_sem_rocking horse.png
30,61,haarspeld,3,ROLLING PIN,25_vis_rolling pin.png
30,74,reddingsvest,1,LIFE JACKET,48_u2_life jacket.png
30,29,horloge,1,WATCH,69_u1_watch.png
30,89,verkeerslicht,1,TRAFFIC LIGHT,82_u1_traffic light.png
30,86,snijplank,1,CUTTING BOARD,76_u2_cutting board.png
30,37,bloem,1,FLOWER,87_u1_flower.png
30,95,lantaarnpaal,1,STREETLIGHT,95_u1_lamp post.png
30,2,kraan,1,TAP,3_sem_tap.png
30,45,slot,1,LOCK,98_u2_lock.png
30,52,kaasschaaf,1,CHEESE SLICER,7_u1_cheese slicer.png
30,98,vishengel,1,FISHING ROD,100_vis_fishing rod.png
30,46,kruis,1,CROSS,97_vis_cross.png
30,4,cake/taart,1,CAKE,5_sem_cake.png
30,33,strijkijzer,1,IRON,74_vis_iron.png
30,71,tandartsstoel,1,DENTIST CHAIR,42_u2_dentist chair.png
